date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:40:34	45414/45414	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/account-close.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/account-close.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:35	70078/70078	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/account-favourite-ads.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/account-favourite-ads.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:35	56466/56466	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/account-home.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/account-home.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:36	70444/70444	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/account-myads.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/account-myads.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:36	70011/70011	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/account-pending-approval-ads.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/account-pending-approval-ads.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:37	81062/81062	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/account-saved-search.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/account-saved-search.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:37	60336/60336	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/ads-details.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/ads-details.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:38	60733/60733	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/ads-details-2-vertical-thumb.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/ads-details-2-vertical-thumb.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:38	63538/63538	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/ads-details-automobile.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/ads-details-automobile.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:39	47102/47102	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/blank-page.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/blank-page.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:39	66000/66000	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/category.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/category.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:40	45358/45358	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/contact.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/contact.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:40:41	41214/41214	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/forgot-password.html	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/forgot-password.html	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
